inputSeq,outputSeq
the computer pioneer one first people visualize mobile computer ,The computer pioneer was one of the first people to visualize a mobile computer.
the students running around naked berkley catholic university seem pious ,The students running around naked at Berkley Catholic University do not seem very pious.
at one time man capable going space nothing pipe dream laughed masses wise alike ,"At one time, man being capable of going into space was nothing more than a pipe dream, laughed at by the masses and the wise alike."
since water pipe burst running water repaired next day ,"Since a water pipe burst, we had no running water until it was repaired the next day."
installing underground pipeline created hundreds jobs community ,Installing the underground pipeline created hundreds of jobs in the community.
we made fruit cobbler favorite dessert apple pippin ,"We made a fruit cobbler with my favorite dessert apple, the pippin."
i disappointed mexican restaurants salsa piquancy whatsoever ask waitress remove bill ,I was disappointed the Mexican restaurants salsa has no piquancy whatsoever and ask the waitress to remove this from the bill.
we thrilled arrived piquant bed breakfast honeymoon night ,We were thrilled when we arrived at the piquant bed and breakfast on our honeymoon night.
hopefully movie trailer pique interest moviegoers motivate buy tickets see film ,Hopefully the movie trailer will pique the interest of moviegoers and motivate them to buy tickets to see the film.
piracy difficult crime punish often committed online ,Piracy is a difficult crime to punish because it is often committed online.
many people pirate games music internet downloading illegally free charge ,Many people pirate games and music from the internet by downloading them illegally and free of charge.
they paddled across river narrow pirogue ,They paddled across the river in the narrow pirogue.
the pirouette famous spin move used ballet figure skating ,The pirouette is a famous spin move used in both ballet and figure skating.
fishing distinctly piscine activity ,Fishing is a distinctly piscine activity.
similar humans flower seeds formed pistil female flower ,"Similar to humans, flower seeds are formed in the pistil of a female flower."
he fell pit fifty feet deep ,He fell into a pit that was over fifty feet deep.
the range pitch high parts song low others ,The range of her pitch was high in some parts of the song and low in others.
because mine best mom asked make pitcher sweet tea serve guests ,"Because mine is the best, Mom asked me to make a pitcher of sweet tea to serve our guests."
after stuck rain night puppy looked piteous ,"After being stuck in the rain all night, the puppy looked piteous."
the experienced programmer expect pitfall would occur trying install new software ,The experienced programmer did not expect the pitfall that would occur when trying to install the new software.
the heart watermelon best part pith tastes best ,The heart of a watermelon is the best part because he pith tastes the best.
a popular speaker janet known pithy sayings ,"A popular speaker, Janet was known for her pithy sayings."
the business mans unfortunate fall grace homelessness made pitiable most ,The business mans unfortunate fall from grace to homelessness made him pitiable to most.
even though mary lost job i dont find pitiable already found better one ,"Even though Mary lost her job, I dont find it to be pitiable because she has already found a better one."
even though union soldier private pitied confederate homeowners lost everything war ,"Even though he was a Union soldier, the private pitied the confederate homeowners who lost everything during the war."
as soon kate heard stray cats pitiful cries took fresh water food outside ,"As soon as Kate heard the stray cats pitiful cries, she took fresh water and food outside."
the judge pitiless sentencing murderer death penalty ,The judge was pitiless when sentencing the murderer to the death penalty.
the housekeeper unable pay bills pittance employers paid her ,The housekeeper was unable to pay her bills with the pittance her employers paid her.
i feel pity homeless people dont warm place sleep winter , I feel pity for the homeless people who dont have a warm place to sleep in the winter.
during recital ballerinas pivot tiptoes simultaneously speed music ,"During the recital, the ballerinas pivot on their tiptoes simultaneously to the speed of the music."
the fighter planes gave pivotal assistance ground forces surrounded enemy ,The fighter planes gave pivotal assistance to the ground forces that were surrounded by the enemy.
if blow size picture without changing resolution become pixelated ,"If you blow up the size of a picture without changing the resolution, it will become pixelated."
i tried placate sad little boy giving cookie ,I tried to placate the sad little boy by giving him a cookie.
trish asked maid place new vase flowers center desk ,Trish asked her maid to place the new vase of flowers in the center of the desk.
because i given placebo drug test medical condition improve ,"Because I was given a placebo during the drug test, my medical condition did not improve."
happy new placement former janitor delighted promoted sales rep year ,"Happy with his new placement, the former janitor was delighted that he was promoted to a sales rep in just a year."
even emergency room packed patients staff remained placid calmly duties ,"Even when the emergency room was packed with patients, the staff remained placid and calmly did their duties."
the teacher accused jerry plagiarism knew could never write exceptional paper ,The teacher accused Jerry of plagiarism because she knew he could never write such an exceptional paper.
jim likes plague younger sister hiding dolls ,Jim likes to plague his younger sister by hiding her dolls.
after trying many outfits dinner date holly finally decided wear plain black dress ,"After trying on many outfits for a dinner date, Holly finally decided to wear a plain black dress."
once i submitted complaint filed judge entered plaint court record ,"Once I submitted my complaint and was filed, the judge entered the plaint in the court record."
after plaintiff fell grocery stores wet floor filed lawsuit hoping damages would cover medical bills ,"After the plaintiff fell on the grocery stores wet floor, she filed a lawsuit hoping the damages would cover her medical bills."
it obvious stray cats plaintive cries cold miserable ,It was obvious from the stray cats plaintive cries he was cold and miserable.
the young woman ahead line wore hair plait running back tied end ,The young woman ahead of me in line wore her hair with a plait running down her back and tied at the end.
mandy asked teacher what odds asteroid comet hitting planet earth causing planetary devastation� ,"Mandy asked her teacher, “What are the odds of an asteroid or comet hitting the planet Earth and causing a planetary devastation?”"
when allie plays violin creates tone melancholy plangent times quite painfully beautiful ,"When Allie plays the violin she creates a tone that is melancholy and plangent, at times quite painfully beautiful."
jellyfish common type plankton push forward sea cant swim current ,Jellyfish are a common type of plankton that can push themselves forward in the sea but cant swim against current.
the slaves labored cotton plantation owner enjoyed life leisure ,The slaves labored on the cotton plantation while their owner enjoyed a life of leisure.
my sister belinda removed dead leaves expose tiny shoot new plant ,My sister Belinda removed the dead leaves to expose a tiny shoot of a new plant.
as starving student clint often sold plasma blood bank college campus ,"As a starving student, Clint often sold his plasma to a blood bank on the college campus."
because glass break easily children eat flexible plastic plates ,"Because glass can break so easily, the children eat off of flexible plastic plates."
because brains plasticity child grew china adapt english language migrated us ,"Because of the brains plasticity, a child who grew up in China can adapt to the English language once he or she has migrated to the U.S."
since weight loss hit plateau i need increase workout start losing weight again ,"Since my weight loss has hit a plateau, I need to increase my workout to start losing weight again."
the speaker stood raised platform crowd could see him ,The speaker stood up on a raised platform so that the crowd could see him.
because i heard platitude hundred times means nothing now ,"Because I have heard your platitude a hundred times, it means nothing to me now."
my partnership alice strictly platonic happily married people ,My partnership with Alice is strictly platonic because we are both happily married to other people.
my friends i formed small platoon paintball match working together defeat opposing team ,"My friends and I formed a small platoon during our paintball match, working together to defeat the opposing team."
as daughter accepted award blushed upon hearing principals gracious plaudit ,"As my daughter accepted her award, she blushed upon hearing the principals gracious plaudit."
when jason forgot homework tried come plausible excuse teacher would believe ,"When Jason forgot to do his homework, he tried to come up with a plausible excuse his teacher would believe."
all children wanted play game could take part one time ,"All of the children wanted to play the game, but only a few could take part at one time."
can i go play clouds gone away� ,"“Can I go out and play, now that the clouds have gone away?”"
our sons kindergarten teacher eases students shyness playful making everything seem like fun game even lining lunch ,"Our sons kindergarten teacher eases her students shyness by being playful and making everything seem like a fun game, even when lining up for lunch."
shakespeare quite possibly well known playwright world ,Shakespeare is quite possibly the most well known playwright in the world.
in order avoid long prison sentence man accepted plea bargain offered ,"In order to avoid a long prison sentence, the man accepted the plea bargain that was offered."
the wounded soldier made plea comrades get back home need beg would never leave behind ,"The wounded soldier made a plea to his comrades to get him back home, but there was no need to beg as they would never leave him behind."
the first time offender plead short prison sentence ,The first time offender will plead for a short prison sentence.
because laura pleasant person around always making new friends ,Because Laura is such a pleasant person to be around she is always making new friends.
mrs hart pleasanter two teachers mrs clark friendly well ,"Mrs. Hart is the pleasanter of the two teachers, but Mrs. Clark is friendly as well."
as passed streets women smiled exchanged pleasantries one another ,"As they passed through the streets, the women smiled and exchanged pleasantries with one another."
it impossible please everyone i focus keeping happy ,"It is impossible to please everyone, so I just focus on keeping myself happy."
the mothers pleasing voice lulled baby gentle sleep ,The mothers pleasing voice lulled her baby into a gentle sleep.
most people enjoy watching television i draw pleasure writing stories ,"Most people enjoy watching television, but I draw pleasure from writing stories."
there way plebeian could afford country clubs expensive dues ,There is no way the plebeian could afford the country clubs expensive dues.
do think voters come presidential plebiscite year ,Do you think voters will come out for the presidential plebiscite this year?
i made pledge i would go date him i cant back now ,"I made a pledge that I would go on a date with him, so I can't back out now."
at plenary meeting shareholders vote proposal ,"At the plenary meeting, all shareholders can vote on the proposal."
despite plenitude money oil tycoon lived economically ,"Despite a plenitude of money, the oil tycoon lived very economically."
saturday nights huge pot spaghetti plenteous ,Saturday nights huge pot of spaghetti was plenteous.
there plentiful amount food family reunion ,There was a plentiful amount of food at the family reunion.
there plenty smoked ham leftover lunch theres need cook meat ,"There is plenty of smoked ham leftover from lunch, so theres no need to cook any more meat."
his book mostly pleonasm half filled unnecessary wording ,His book was mostly pleonasm because half of it was filled with unnecessary wording.
i see mother wants shoes already plethora them ,I don't see why my mother wants more shoes when she already has a plethora of them.
even though hose seemed pliable henry wasnt able curve around corner house ,"Even though the hose seemed pliable, Henry wasnt able to curve it around the corner of the house."
when slaves pliant owners would punish them ,"When the slaves were not pliant, their owners would punish them."
the dress small crease plication it soon smoothed out ,"The dress had a small crease and plication in it, but it was soon smoothed out."
the mechanic used pliers loosen bolt tight use hands ,The mechanic used pliers to loosen the bolt because it was too tight to use his hands.
because homeless penniless jasons plight miserable one ,"Because he was homeless and penniless, Jasons plight was a miserable one."
raising pillar higher wood plinth helped sturdy base significantly ,"Raising the pillar higher, the wood plinth helped sturdy the base significantly."
after painful cramps i could plod race ,"After having painful cramps, I could only plod through the race."
since sam grew tired running seen plodding slowly toward end race ,"Since Sam grew tired from running, he was seen plodding slowly toward the end of the race."
the baseball fell pitchers hand made plop thump sound hit ground ,"The baseball fell out of the pitchers hand, and it made a plop and thump sound as it hit the ground."
the mob members plot behind bosss back would find plans kill him ,The mob members had to plot behind their bosss back so that he would not find out about their plans to kill him.
we used plough till soil planted cotton ,We used a plough to till the soil before we planted cotton.
using plow loosen gardens soil much easier tilling hand ,Using the plow to loosen the gardens soil was much easier than tilling by hand.
the store used bait switch ploy get customers buy expensive item ,The store used a bait and switch ploy to get customers to buy a more expensive item.
to shape perfectly paula used brand new tweezers pluck excess hair eye brows ,"To shape them perfectly, Paula used her brand new tweezers to pluck excess hair from her eye brows."
the plucky preschooler stood bully taking friends lunch ,The plucky preschooler stood up to the bully who was taking his friends lunch.
he used cork plug bottle ,He used a cork to plug the bottle.
when i ate plum maroon colored skin stained fingers ,"When I ate a plum, the maroon colored skin stained my fingers."
the little boy picked pit plum biting sweet flesh juicy fruit ,The little boy picked the pit out of the plum after biting into the sweet flesh of the juicy fruit.
the vivid plumage ice skaters costume received attention athletes routine ,The vivid plumage on the ice skaters costume received more attention than the athlete's routine.
using internet easily plumb essay topic writing paper ,"Using the Internet, you can easily plumb your essay topic before writing the paper."
when cutting clients hair bob missy made sure plumb way across ,"When cutting her clients hair into a bob, Missy made sure it was plumb all the way across."
a plumber specializes installing maintaining systems used water sewage drainage ,"A plumber specializes in installing and maintaining systems used for water, sewage, and drainage."
a plume steam rose place geyser bubbled ,A plume of steam rose up from the place where the geyser bubbled.
when housing bubble burst many people saw property values plummet ,"When the housing bubble burst, many people saw their property values plummet."
the farmer wife picked plump looking chicken meal instead skinny one ,The farmer and his wife picked the plump looking chicken for their meal instead of the skinny one.
during protest riots angry citizens began plunder goods closed stores ,"During the protest riots, angry citizens began to plunder goods from closed stores."
off diving board emily decided plunge deep end pool quick swim ,"Off the diving board, Emily decided to plunge into the deep end of the pool for a quick swim."
according grammar book plural word mouse mice ,"According to the grammar book, the plural of the word mouse is mice."
pluralism system two states groups principles coexist together ,"Pluralism is a system in which two or more states, groups, or principles coexist together."
the solar system pluralistic nature multiple celestial bodies operating within it ,"The solar system is pluralistic in nature, having multiple celestial bodies operating within it."
when plurality people rushed store cashiers overwhelmed ,"When a plurality of people rushed into the store, the cashiers were overwhelmed."
the first graders learning single digit addition like three plus five equals eight ,The first graders are learning single digit addition like three plus five equals eight.
taking seat hotel lobbys plush armchair tired traveler knew would impossible stay awake much longer ,"Taking a seat in the hotel lobbys plush armchair, the tired traveler knew it would be impossible to stay awake much longer."
because operated wealthiest people political system plutocracy ,"Because it is not operated by the wealthiest people, our political system is not a plutocracy."
the city previously drought pluvial thanks constant rainfall ,"The city, which was previously in a drought, is now more pluvial thanks to the constant rainfall."
because shredding strings blanket i could tell ply would soon unravel ,"Because of the shredding strings in our blanket, I could tell the ply would soon unravel."
plymouth town massachusetts united states named plymouth england ,"Plymouth is a town in Massachusetts, United States named after Plymouth, England."
i wear pneumatic boot uses air cushion injuries ,I wear a pneumatic boot that uses air to cushion my injuries.
the womans diagnosis pneumonia explained could breathe easily ,The womans diagnosis of pneumonia explained why she could not breathe easily.
mom chose poach egg small amount water instead frying bacon grease ,Mom chose to poach the egg in a small amount of water instead of frying it in bacon grease.
because poaching hunted african rhino risk extinct earth ,"Because of poaching, the hunted African Rhino is now at risk of being extinct from the earth."
a hours little boy put candy bar pocket melted chocolate stain could seen front pants ,"A few hours after the little boy put the candy bar in his pocket, a melted chocolate stain could be seen on the front of his pants."
due pococurante attitude toward homeless woman simply walked starving children streets ,"Due to her pococurante attitude toward the homeless, the woman simply walked by the starving children on the streets."
while touring zoo children observed pod pelicans settled close other ,"While touring the zoo, the children observed a pod of pelicans settled close to each other."
the sandals model consulted podiatrist get wart removed quickly next modeling job ,The sandals model consulted a podiatrist to get the wart removed quickly before her next modeling job.
edgar allen poe gained notoriety poet short story writer using scary elements ,Edgar Allen Poe gained notoriety from being a poet and short story writer using scary elements.
the songs rhyming lyrics poetic style feel them ,The songs rhyming lyrics had a poetic style and feel to them.
taking poetry classes college open students mind eventually write poetic songs passion many ,"Taking poetry classes in college will open up the students mind to eventually write poetic songs, a passion for many."
dr seusss books best current examples rhyming poetry ,Dr. Seusss books are some of the best current examples of rhyming poetry.
darlenes young daughter flair comes writing poetry maybe one day write children books ,Darlenes young daughter has a flair when it comes to writing poetry and maybe one day will write children books.
the holocaust mass pogrom jews minorities ,The holocaust was a mass pogrom of Jews and other minorities.
because poignant movie reminded painful childhood made cry ,"Because the poignant movie reminded me of my painful childhood, it made me cry."
soldiers precisely trained fight bitter end encountered enemy point blank range ,Soldiers were precisely trained to fight to the bitter end if they encountered the enemy at point blank range.
hearing crime victims pointofview helped jury enter guilty plea ,Hearing about the crime from the victims point-of-view helped the jury enter a guilty plea.
chef henry used point knife tear small hole plastic bag could get inside it ,Chef Henry used the point of a knife to tear a small hole in the plastic bag so that he could get inside it.
when elderly couple murdered many people felt crime pointless couple would help anyone ,"When the elderly couple was murdered, many people felt that the crime was pointless because the couple would help anyone."
poised confident valedictorian delivered commencement speech entertaining inspiring ,"Poised and confident, the valedictorian delivered a commencement speech that was just as entertaining as it was inspiring."
chocolate poison dogs cause get really sick possibly die ,Chocolate is a poison to dogs because it will cause them to get really sick and possibly die.
every camper warned stay inside cabins since poisonous snake seen crawling around nearby ,Every camper was warned to stay inside their cabins since a poisonous snake was seen crawling around nearby.
when man began doze ministers sunday sermon wife decided poke ribs wake up ,"When the man began to doze off during the ministers Sunday sermon, his wife decided to poke him in the ribs to wake him up."
as white polar bear foraged food snowy woods always difficult animal survive north pole ,"As the white polar bear foraged for food in the snowy woods, it was always difficult for any animal to survive at the North Pole."
the marked polarity jason kevins political positions makes impossible come terms single issue ,The marked polarity of Jason and Kevins political positions makes it impossible for them to come to terms on any single issue.
division polarization members beliefs occurred group discussed hottopic issues ,Division and polarization of members beliefs occurred when the group discussed hot-topic issues.
a polder piece land used covered water converted back land human hands ,"A polder is a piece of land that used to be covered by water, but was converted back to land by human hands."
due strong winds today tree hit power pole knocked across road ,"Due to the strong winds today, a tree hit a power pole and knocked it down across the road."
the political candidate posted polemic blog mocked rivals lack community service ,The political candidate posted a polemic on his blog that mocked his rivals lack of community service.
the police often called investigate disturbances residential neighborhoods ,The police are often called on to investigate disturbances in residential neighborhoods.
our school policy states students bring lunch home doctors excuse ,Our school policy states that students can only bring their lunch from home if they have a doctors excuse.
polio dangerous rampant disease since cured significantly reduced threat ,"Polio was once a dangerous rampant disease, but it has since been cured and is a significantly reduced threat."
athens famous polis greece known birthplace democratic government ,Athens was the most famous polis in Greece and is known as the birthplace of democratic government.
if want people like you probably polite them ,"If you want people to like you, you should probably be polite to them."
a persons first impression often dependent politeness ,A persons first impression of you is often dependent on your politeness.
the campaign group supporters president election considered single political engine ,The campaign group and all of its supporters for a President during election is considered a single political engine.
the democrats political party united states government system though tough opposition form republican party ,"The Democrats are a political party in the United States government system, though they have tough opposition in the form of the Republican Party."
the head government country holds political position regardless much power wield ones control ,The head of the government in any country holds a political position regardless of how much power they wield or if they are the only ones in control.
the political ads urged voters cast ballots republican candidate ,The political ads urged voters to cast their ballots for the Republican candidate.
the president united states politician ,The President of the United States is a politician.
taking career politics young man decided follow fathers presidential footsteps white house ,"Taking on a career in politics, the young man decided to follow his fathers presidential footsteps into the White House."
our school wanted organize polity run student body ,Our school wanted to organize a polity run by the student body.
the united states uses poll determine politicians citizens vote for ,The United States uses a poll to determine which politicians their citizens vote for.
you often see yellow tint pollen floating air spring ,You can often see the yellow tint of pollen floating through the air in spring.
in order plant flower produce seeds pollination must occur two flowers ,"In order for a plant or flower to produce seeds, pollination must occur between two flowers."
once epa realized factory main pollutant rivers water heavily fined ,"Once the EPA realized that the factory was the main pollutant of the rivers water, they were heavily fined."
factories one known culprits pollute air fossil fuel emissions ,Factories are one of the known culprits that pollute the air through fossil fuel emissions.
carcinogens form pollution harm earths atmosphere ,Carcinogens are a form of pollution that harm Earths atmosphere.
a na�ve pollyanna little red riding hood skipped woods blissfully unaware danger ,"A naïve Pollyanna, Little Red Riding Hood skipped through the woods blissfully unaware of the danger."
wishful thinking pollyannaish daydreaming left trusting girl constantly disappointed ,Wishful thinking and Pollyannaish daydreaming left the trusting girl constantly disappointed.
fearing poltergeist would keep night howling scary noises girl wore earplugs bed ,"Fearing the poltergeist would keep her up all night with his howling and scary noises, the girl wore earplugs to bed."
the poltroon coward sent anonymous hate letter president ,The poltroon was the coward who sent an anonymous hate letter to the president.
using array chalks i created polychromatic artwork sidewalk everyone enjoy ,"Using my array of chalks, I created a polychromatic artwork on the sidewalk for everyone to enjoy."
having one spouse act polygamy ,Having more than one spouse is an act of polygamy.
because sister polyglot hired language translator united nations ,"Because my sister is a polyglot, she was hired as a language translator for the United Nations."
stop signs polygon shape always eight sides ,Stop signs are a polygon shape that always have eight sides.
when fbi agent wanted know daughters new boyfriend ever committed crime hooked machine conduct polygraph analyzing boys trembling answers ,"When the FBI agent wanted to know if his daughters new boyfriend had ever committed a crime, he hooked him up to the machine to conduct a polygraph analyzing the boys trembling answers."
a history polymath professor knows everything know world wars dynasties ,"A history polymath, the professor, knows everything there is to know about world wars and dynasties."
the scientist combine molecules create synthetic polymer ,The scientist will combine molecules to create a synthetic polymer.
when young singer found polyps vocal cords knew would get surgery hopes going tour obliterated ,"When the young singer found out she had polyps on her vocal cords, she knew she would have to get surgery and her hopes of going on tour were obliterated."
the polyphonic song performed two best voices worldrenowned choir ,The polyphonic song was performed by two of the best voices in the world-renowned choir.
polysemy word patterns confusing since words spelled different meanings ,Polysemy word patterns can be confusing since the words are spelled the same but have different meanings.
polysyllabic words containing one syllable usually difficult young readers pronounce ,Polysyllabic words containing more than one syllable are usually more difficult for young readers to pronounce.
many ancient civilizations believed polytheism worshipped numerous gods ,Many ancient civilizations believed in polytheism and worshipped numerous gods.
perforated polythene used create plastic coverings keep runners dry rainy races ,Perforated polythene was used to create plastic coverings to keep runners dry during rainy races.
if sword breaks could always hit enemy pommel sword ,"If your sword breaks, you could always hit the enemy with the pommel of your sword."
holding saddles pommel rider tried desperately keep falling bucking horse ,"Holding on to the saddles pommel, the rider tried desperately to keep himself from falling off of the bucking horse."
the prom committee focused blowing everyone away pomp ,The prom committee focused on blowing everyone away with pomp.
the actors 1960s ensemble wasnt complete without dirty white tshirt pompadour hairstyle cigarette ,"The actors 1960s ensemble wasnt complete without a dirty white t-shirt, a pompadour hairstyle and a cigarette."
lacking pomposity previous queens majesty humble arrogant ,"Lacking the pomposity of the previous queens, her majesty was humble and not arrogant."
the millionaire pompous man believed never wait line anything ,The millionaire was a pompous man who believed he should never wait in line for anything.
every sunday without fail boy father would go fishing pond located behind house ,"Every Sunday without fail, the boy and his father would go fishing in the pond located behind their house."
because father debates every decision ponder deciding i take part friends mixed gender sleepover ,"Because my father debates every decision, he will ponder before deciding if I can take part in my friends mixed gender sleepover."
many news reporters covering ponderable news stories countrys citizens would deem vital lives ,Many news reporters were covering the ponderable news stories that the countrys citizens would deem vital to their lives.
the students grew silent realized would sit ponderous threehour lecture ,The students grew silent when they realized they would have to sit through a ponderous three-hour lecture.
if dare question professor give evil look proceed pontificate totally different subject ,"If you dare to question the professor, he will give you an evil look and then proceed to pontificate on a totally different subject."
the mansion kidneyshaped pool backyard well hot tub fencedin area ,The mansion had a kidney-shaped pool in the backyard as well as a hot tub in the fenced-in area.
poor children could seen streets india begging tourists anything could get ,Poor children could be seen on the streets of India begging tourists for anything they could get.
when man would pop cork champagne bottle everyone party looked him ,"When the man would pop the cork off the champagne bottle, everyone at the party looked over at him."
on easter pope conducted several masses catholic people area ,"On Easter, the pope conducted several masses for the Catholic people in the area."
after looking mirror hour popinjay wanted everyone admire beauty like did ,"After looking in the mirror for an hour, the popinjay wanted everyone to admire her beauty just like she did."
the witch doctor constructed poppet target used make person ill ,The witch doctor constructed a poppet of her target and used it to make the person ill.
the populace became angry government failed lower taxes ,The populace became angry when the government failed to lower taxes.
i tell john popular everyone loves him ,I can tell John is popular because everyone loves him.
over time popularity tattoos become apparent due many pictures inked peoples skin ,Over time the popularity of tattoos has become apparent due to the many pictures inked on peoples skin.
the rabbits able populate area quickly kittens back back ,The rabbits were able to populate the area very quickly by having kittens back to back.
because doesnt know defend himself wimpy teenager decided take boxing classes ,"Because he doesnt know how to defend himself, the wimpy teenager decided to take a few boxing classes."
the population china one billion people ,The population of China is over one billion people.
promoting populism meant candidate played na�ve notions poor working class ,Promoting populism meant that the candidate played on the naïve notions of the poor working class.
the populous city contained residents every ethnicity ,The populous city contained residents of every ethnicity.
when young daughter reached porcelain doll stores shelf accidentally broke fell ground ,"When my young daughter reached for the porcelain doll off the stores shelf, she accidentally broke it when it fell on the ground."
the porcine children continued fight leftover soup like trough slop ,The porcine children continued to fight over the leftover soup like a trough of slop.
after i given manuscript first title role play i began pore script hours ,"After I was given the manuscript for my first title role in the play, I began to pore over the script for hours."
pork barrel politics make seem impossible win election without buying votes ,Pork and barrel politics make it seem impossible to win an election without buying votes.
because castle porous security assassin found quite simple sneak inside murder king ,"Because the castle had porous security, the assassin found it quite simple to sneak inside and murder the king."
goldilocks ate bears porridge probably wished hadnt since cereal hot water ,"Goldilocks ate all of the bears porridge, but she probably wished she hadnt since it was just cereal and hot water."
this evening porringer tomato soup grilled cheese sandwiches ,"This evening, we will have a porringer of tomato soup and grilled cheese sandwiches."
that popular port merchandise enter leave ,That is a popular port where merchandise can enter or leave.
we always pack portable disposable grill heading trip easiest way cook road ,We always pack a portable disposable grill before heading out on a trip because its the easiest way to cook on the road.
the portage across canal required hefty fee ,The portage across the canal required a hefty fee.
the pointy portcullis opened top permit passage sightseeing tourists ,The pointy portcullis opened from the top to permit the passage of sightseeing tourists.
by hovering nearby dark clouds portend storm area ,"By hovering nearby, the dark clouds portend a storm in our area."
the thunder portent approaching storm ,The thunder was a portent of an approaching storm.
because jack generally expects worst language normally portentous filled warnings ,"Because Jack generally expects the worst, his language is normally portentous and filled with warnings."
a bellhop considered porter carry luggage ,"A bellhop is considered a porter, because they carry luggage."
the photographer impressive portfolio holds assortment images taken career ,The photographer has an impressive portfolio that holds an assortment of images he has taken in his career.
since teresa trying eat healthy sample small portion home made brownies ,"Since Teresa is trying to eat healthy, she will sample a very small portion of my home made brownies."
because portly woman unhappy weight joined weight loss program ,"Because the portly woman was unhappy with her weight, she joined a weight loss program."
she carried possessions old portmanteau ,She carried her possessions with her in an old portmanteau.
when portrait drawn couldnt move hours artist drew image him ,"When he had his portrait drawn, he couldnt move for a few hours while the artist drew an image of him."
the media going portray killer victim societys avoidance mental health issues ,The media is going to portray the killer as a victim of societys avoidance of mental health issues.
i would like pose question testing nuclear weapons sanctions associated it ,I would like to pose a question about testing nuclear weapons and the sanctions associated with it.
the poseur became good pretending scientist longer needed lab coat ,The poseur became so good at pretending to be a scientist that he no longer needed a lab coat.
her posh bag expensive style fabric made sophisticated purse worth it ,"Her posh bag was expensive, but the style and fabric made the sophisticated purse worth it."
since venue available i posit condominium place company holiday party ,"Since no other venue is available, I will posit my condominium as a place for the company holiday party."
at little league today son jason chosen play third base position ,"At Little League today, my son Jason was chosen to play the third base position."
jeff positive scored a test studied material eight hours ,Jeff was positive he scored an A on his test because he studied the material for eight hours.
my friend posse likes hang similar ,My friend has a posse that he likes to hang out with because they are all so similar.
most families america possess least one car many two ,"Most families in America possess at least one car, but many have two."
after dates bruce amy felt becoming jealous possessive her ,"After being on a few dates with Bruce, Amy felt he was becoming jealous and possessive of her."
there possibility school cancelled snows hard enough ,There is a possibility that school will be cancelled if it snows hard enough.
it possible backflip practice long enough ,It is possible for you to do a backflip if you practice long enough.
we could possibly sentient race universe theres way know sure ,"We could possibly be the only sentient race in the universe, but theres no way to know for sure."
we must leave posthaste dont want miss beginning film ,We must leave post-haste if we dont want to miss the beginning of the film.
while term postbellum refer period time war usually used refer events occurred american civil war ,"While the term ‘postbellum can refer to a period of time after any war, it is usually used to refer to the events that occurred after the American Civil War."
we postdate party thunderstorm stopped guests coming original day ,We had to postdate the party because a thunderstorm stopped the guests from coming on the original day.
in anatomy class students learned term posterior� refers back body ,"In anatomy class, students learned the term “posterior” refers to the back of a body."
we bury time capsules posterity ,We bury time capsules for ourselves and for posterity.
any degree study completing first degree considered postgraduate always looks good resume ,"Any degree you study for after completing your first degree can be considered postgraduate, and it always looks good on your resume."
the author received several impressive awards body work unfortunately posthumous ,"The author received several impressive awards for her body of work; unfortunately, they were all posthumous."
a postmark package tell shipped from ,A postmark on a package will tell you where it was shipped from.
taking postmeridian nap caused boy awake night long ,Taking a postmeridian nap caused the boy to be awake all night long.
the autopsy performed victim postmortem ,The autopsy is performed on the victim postmortem.
when great aunt passed away postmortem examination determine actual cause death rule foul play ,When my great aunt passed away there was a postmortem examination to determine the actual cause of her death and to rule out foul play.
a baby needs lot postnatal care ensure healthy leave hospital ,A baby needs a lot of postnatal care to ensure that it is healthy before it can leave the hospital.
because procedure long tedious surgeon needed postoperative relaxation wind down ,"Because the procedure was so long and tedious, the surgeon needed some postoperative relaxation to wind down."
most women experience postpartum joy get hold baby first time ,Most women experience postpartum joy when they get to hold their baby for the first time.
i decided postpone writing essay tomorrow i tired today ,I decided to postpone writing my essay until tomorrow because I was too tired to do it today.
unfortunately jamie postpone wedding severe illness ,Unfortunately Jamie had to postpone his wedding because of a severe illness.
the heavy snow last night resulted postponement school ,The heavy snow last night resulted in a postponement for school.
many people use postscript letter forgot write something body letter ,Many people use a postscript in a letter when they forgot to write something in the body of the letter.
in attempt create controversy experts postulate alternatives historical beliefs accepted years ,"In an attempt to create controversy, some experts postulate alternatives to historical beliefs that have been accepted for years."
marys bad posture sitting school desk makes back hurt later day ,Marys bad posture when sitting at her school desk makes her back hurt later during the day.
postwar reconstruction germany initially completed rubble women used cleanup debris ,Postwar reconstruction of Germany was initially completed by rubble women who were used to clean-up debris.
there lack potable water drought ,There was a lack of potable water because of the drought.
as recovering alcoholic jim decided refrain potation ,"As a recovering alcoholic, Jim decided to refrain from potation."
because high potency herb make people act strange ways ,"Because of its high potency, the herb can make people act in strange ways."
the potent poison killed within seconds ,The potent poison killed him within seconds.
our president cannot become potentate share power two branches government ,Our president cannot become a potentate because he has to share his power with two other branches of government.
because building gas leak poses potential risk residents evacuated ,"Because the building has a gas leak that poses a potential risk to residents, it is being evacuated."
because study final test mark could potentially fail class ,"Because he did not study for the final test, Mark could potentially fail the class."
the two medicines prescribed doctor tend potentiate stronger together taken separately ,The two medicines prescribed by the doctor tend to potentiate each other and are stronger together than if taken separately.
the poison taipan snake potently lethal could kill twelve people ,The poison of a Taipan snake is so potently lethal that it could kill twelve people.
